month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2011-08,46,0,0,0,1,0,0,0,0,0,0,0,0,0,413,0,6,0,0,0,3,4,2,0
2011-09,458,0,0,0,0,67,0,0,0,0,0,0,0,0,2114,0,0,0,3,0,0,39,0,0
2011-10,639,0,0,0,0,5,0,0,6,1,0,0,0,0,984,0,0,0,0,0,0,5,0,0
2011-11,0,0,0,13,0,0,0,0,0,0,0,9,0,0,245,0,0,0,0,0,5,15,0,0
2011-12,3,0,6,10,0,0,0,0,0,0,0,4,0,0,30,0,0,0,3,0,3,8,1,0
2012-01,0,0,4,8,0,0,0,0,0,3,0,0,0,0,13,0,2,0,0,0,0,5,0,0
2012-02,0,0,0,6,0,0,0,0,0,0,0,20,0,0,22,0,0,0,0,0,0,1,0,0
2012-03,2,0,0,26,0,5,0,0,0,0,0,4,0,0,287,0,3,0,0,0,3,5,0,0
2012-04,3,0,0,54,0,2,0,0,0,0,3,2,0,0,22,0,0,0,0,10,12,9,0,0
2012-05,0,0,0,19,0,0,0,0,0,0,0,0,0,8,59,0,3,0,0,0,2,10,0,0
2012-06,3,0,0,73,0,0,0,0,0,0,0,0,0,0,115,0,2,0,0,4,6,4,0,0
2012-07,24,0,0,72,0,0,0,0,0,0,11,0,0,10,455,11,0,0,0,0,5,0,0,0
2012-08,0,0,0,10,3,7,5,0,286,0,3,0,0,0,150,0,4,10,4,1,2,3,0,0
2012-09,0,0,0,5,0,0,0,1,218,0,0,0,0,0,329,5,2,0,0,1,6,3,0,0
2012-10,0,0,0,45,0,3,0,0,458,0,0,0,0,0,208,3,4,0,0,0,0,0,0,0
2012-11,1,0,0,0,0,0,2,0,518,0,0,7,0,0,696,3,10,0,0,20,0,7,0,0
2012-12,12,0,0,0,2,0,0,0,225,0,0,7,0,0,203,0,0,0,0,0,7,7,0,0
2013-01,0,0,0,0,0,0,0,0,399,0,0,8,0,0,122,0,0,1,5,0,3,39,0,0
2013-02,0,0,0,12,0,0,0,0,244,0,0,0,0,0,174,30,0,0,2,6,7,16,0,0
2013-03,0,0,0,0,0,0,0,0,69,0,0,0,0,0,523,64,0,0,5,0,11,19,0,0
2013-04,7,0,0,0,0,0,0,0,122,0,0,0,0,0,378,11,0,0,0,9,3,10,0,0
2013-05,3,0,0,0,0,0,1,0,151,0,0,0,0,0,432,9,0,31,0,0,0,10,0,0
2013-06,0,0,0,0,0,0,0,0,210,0,0,3,0,0,160,47,0,29,0,7,3,12,0,0
2013-07,6,0,0,0,0,0,0,0,611,0,0,0,0,0,385,38,0,0,0,5,6,1,1,0
2013-08,1,0,0,0,0,0,0,1,667,0,0,4,0,0,462,5,0,16,0,10,0,0,0,0
2013-09,0,3,0,0,0,0,1,0,184,0,0,0,0,0,751,7,0,27,0,7,7,3,0,0
2013-10,0,25,0,0,17,0,0,19,341,0,0,0,0,0,1080,19,0,154,0,0,11,24,0,0
2013-11,0,7,0,0,0,0,0,0,190,0,0,0,0,0,294,10,0,110,0,0,7,0,0,0
2013-12,0,9,0,0,0,0,0,0,61,0,0,0,0,0,334,0,0,1,3,4,0,1,1,0
2014-01,1,19,0,0,0,0,0,0,90,0,0,0,0,0,796,6,0,30,0,21,31,19,3,0
2014-02,0,17,0,0,0,0,0,2,174,0,0,0,0,0,850,4,0,4,0,0,0,12,0,0
2014-03,4,23,0,0,0,0,0,0,166,0,70,0,0,0,503,10,0,0,0,0,10,0,0,0
2014-04,8,0,0,0,0,0,0,5,87,0,32,0,0,0,253,15,0,94,0,0,10,0,0,0
2014-05,8,5,0,10,0,0,0,0,242,0,30,0,0,0,1110,6,0,17,0,11,7,3,0,0
2014-06,0,10,0,0,0,0,0,0,340,0,69,0,0,0,651,0,0,3,0,0,8,34,0,0
2014-07,0,0,0,18,45,0,0,0,626,0,51,0,0,0,1456,0,0,3,0,0,3,3,1,0
2014-08,0,0,0,13,0,0,10,0,427,0,11,0,0,0,1587,2,0,127,0,0,0,7,0,0
2014-09,0,4,22,0,0,6,0,0,64,0,18,27,0,0,768,0,0,26,0,0,3,4,0,0
2014-10,0,8,2,0,0,0,27,0,142,0,0,0,0,0,1081,0,0,172,0,0,4,10,0,0
2014-11,0,3,0,0,0,0,4,20,111,0,18,0,0,0,1047,0,0,73,0,0,0,0,0,0
2014-12,7,0,0,13,0,0,0,0,77,0,19,0,0,0,1489,0,0,0,0,0,0,3,0,0
2015-01,34,3,21,8,1,0,12,4,178,0,16,0,0,0,1676,0,0,488,0,0,7,19,0,0
2015-02,0,0,0,0,0,0,0,0,382,0,70,0,0,0,2830,0,0,141,1,0,0,0,0,0
2015-03,73,0,2,0,0,0,0,0,359,0,5,0,0,0,1279,0,0,145,2,0,0,0,0,0
2015-04,64,0,5,0,0,0,0,0,138,0,12,0,0,0,1851,0,0,78,0,2,8,1,0,0
2015-05,21,0,0,0,0,0,0,0,148,0,137,0,0,0,1502,0,0,17,0,0,0,0,0,0
2015-06,0,0,0,16,0,0,0,0,194,0,35,0,0,16,1817,0,0,7,0,0,12,0,0,0
2015-07,0,0,0,83,0,0,0,0,178,0,42,0,0,6,1999,0,0,66,0,0,0,3,0,0
2015-08,37,0,0,0,0,88,0,0,99,0,51,4,0,0,2844,0,0,49,0,3,0,0,0,0
2015-09,0,24,0,0,0,17,6,0,234,0,44,0,0,0,1347,0,0,276,0,3,7,0,0,0
2015-10,0,15,0,31,0,0,0,0,119,0,86,0,0,0,2234,0,0,357,1,0,0,12,0,0
2015-11,0,7,0,37,0,0,0,0,138,0,17,0,0,26,1904,0,0,262,0,0,3,5,0,0
2015-12,0,0,2,0,0,0,0,0,148,0,120,0,0,91,2585,0,0,36,0,0,0,0,0,0
2016-01,258,0,0,0,0,0,0,58,332,0,95,0,0,0,3012,0,0,165,0,0,0,0,0,0
2016-02,0,0,0,9,0,0,68,0,485,0,21,0,0,76,2443,0,0,118,0,0,2,0,0,0
2016-03,15,0,0,9,0,0,31,33,94,0,9,0,0,0,2197,0,0,14,0,0,4,0,0,0
2016-04,17,31,0,88,0,0,0,51,122,0,6,0,0,38,1991,0,0,16,0,0,0,0,0,0
2016-05,0,23,0,5,0,0,0,0,116,0,9,0,0,0,2393,0,0,88,0,0,0,0,0,0
2016-06,57,23,0,6,0,0,0,0,578,0,12,0,0,54,1412,0,0,61,0,0,0,0,0,0
2016-07,0,25,0,41,0,0,0,0,518,0,29,0,0,70,3660,0,0,37,0,0,10,0,0,0
2016-08,42,30,0,0,0,0,92,0,378,0,0,0,0,38,2584,0,0,11,0,0,9,0,0,0
2016-09,0,13,0,30,0,0,39,0,451,0,0,0,0,8,2213,0,0,26,0,0,0,0,0,0
2016-10,0,11,0,0,0,0,0,0,464,0,6,0,0,0,2160,4,0,216,0,0,0,0,0,0
2016-11,0,0,0,5,0,0,0,14,533,0,26,0,0,0,2714,5,0,76,0,0,0,0,0,0
2016-12,0,0,0,12,0,0,0,0,327,0,32,0,0,3,1895,14,4,5,0,0,7,0,0,0
2017-01,0,0,0,8,0,0,0,1,226,0,18,0,0,21,2356,1,0,137,0,0,4,0,0,0
2017-02,0,0,0,2,0,0,0,0,85,0,15,0,0,3,697,0,0,54,0,0,0,0,0,0
2017-03,0,0,0,60,0,0,1,0,201,0,34,0,0,9,1792,0,0,250,0,0,17,0,0,0
2017-04,8,0,0,0,0,0,3,1,307,0,27,0,0,71,1311,0,0,88,0,0,43,0,0,0
